Name,유동비율,당좌비율,이자보상비율,고정장기적합률,부채비율,자기자본비율,차입금의존도,차입금비율,현금및현금성자산구성비율,유형자산구성비율,무형자산구성비율,차입부채조달금리(평균),차입부채조달금리(기말),차입부채/영업이익,현금흐름/총자산,현금흐름/총자본,현금흐름/총부채,현금흐름/총차입부채,현금흐름/영업수익,유보율,유보액/총자산,매출총이익률,영업이익률,총자산순이익률,투하자본수익률,EBITDA마진율,당기순이익률,ROA(영업이익),ROE(영업이익),총자산회전율( ROA 유사),총부채회전율,총자본회전율,주가수익비율(PER),주가장부가비율(PBR),주가매출액비율(PSR),매출채권회전율,재고자산회전율,직원수,임원수,신용등급 (채권),최대주주등 보유비율,총자산대비CFPS,감사의견
메리츠금융지주,0,0,0,0,10.9174041,0.083910891,0.412939299,4.921164494,,,,,,18.81224322,0.011417368,0.136065389,0.012463163,0.027649023,0.026271504,52.90887867,0.04607974,,0.941409764,0.016862508,1.167133564,1.018450621,0.723194704,0.021950561,0.26159371,0.434591333,0.474398537,5.179200532,0,59.30315924,0,,,19,5,2,72,-0.033069661,적정의견
DB손해보험,0,0,0,0,8.617809722,0.103973777,0.034287059,0.329766407,,,,,,2.003012737,0.015293361,0.147088637,0.017067984,0.446038875,0.04742537,190.910316,0.104371551,,0.067628911,0.013481058,1.301885676,0.074996268,0.053261066,0.017117744,0.164635202,0.322472152,0.359891422,3.101475799,0,74.17815308,0,,,"4,669",11,2,23,0.014986537,적정의견
미래에셋증권,0,0,0,0,9.239604988,0.097660017,0.551794297,5.650155639,,,,,,40.35604474,0.012132539,0.124232402,0.01344564,0.02198743,0.100275473,1.68068104,0.06345705,,0.499031695,0.010893031,1.266191465,0.554591257,0.397565106,0.013673151,0.140007666,0.120992085,0.134087027,1.23891116,0,91.80181272,0,,,"3,587",14,4,25,-0.017577879,적정의견
삼성카드,0,0,0,0,2.612831262,0.276791228,0.613860697,2.217775115,,,,,,22.23799594,0.026738018,0.096599946,0.036971368,0.043557142,0.202277389,11.87769282,0.269020387,,0.280221759,0.020301118,3.544541166,0.345565564,0.20608559,0.027604137,0.099729091,0.132184906,0.182775585,0.477561761,0,49.25837128,0,,,"2,017",15,3,72,-0.071490812,적정의견
메리츠증권,0,0,0,0,9.143238748,0.09858784,0.594490555,6.030059635,,,,,,33.89768301,0.0160934,0.163239203,0.017853543,0.02707091,0.037457354,6.050564907,0.086794917,,0.551116107,0.014469599,10.03877704,0.606821781,0.454699697,0.017537793,0.177890024,0.429645949,0.476636513,4.358001434,0,69.11041389,0,,,"1,556",6,2,49,-0.080128593,적정의견
한국금융지주,0,0,0,0,10.04405563,0.090546447,0.504815375,5.575209083,,,,,,27.22855575,0.022408262,0.247478093,0.024639259,0.044389025,0.133344414,23.18903348,0.087039167,,0.909363155,0.021509357,3.532273506,0.953543696,1.055010582,0.018539925,0.20475596,0.168048,0.18477909,1.855931458,0,46.49139425,0,,,68,4,6,21,-0.061866976,적정의견
NH투자증권,0,0,0,0,7.579713057,0.116554014,0.4012096,3.442263243,,,,,,18.15194,0.016872297,0.144759468,0.019098278,0.042053573,0.091778583,3.245507021,0.089223448,,0.552833284,0.015911039,4.269362986,0.576849656,0.397964598,0.02210285,0.189636107,0.183836975,0.208090792,1.577268494,0,62.84944882,0,,,"3,100",13,6,52,0.043900568,적정의견
삼성증권,0,0,0,0,9.805501806,0.092545447,0.42371877,4.578493929,,,,,,21.2744334,0.015545238,0.167974094,0.017130596,0.036687631,0.10412728,12.2632923,0.085567885,,0.583770704,0.014691449,5.065790905,0.608795635,0.430613097,0.019916806,0.215211087,0.149290731,0.164515931,1.613161259,0,68.06680438,0,,,"2,622",11,3,30,-0.042632336,적정의견
현대해상,0,0,0,0,9.546703978,0.094816352,0.024557432,0.258999969,,,,,,2.028781681,0.010378463,0.109458579,0.011465588,0.422620047,0.029092619,112.5502643,0.095251553,,0.041631454,0.008189866,0.336638784,0.049158765,0.028167657,0.012104522,0.12766281,0.356738707,0.394106443,3.762417545,0,122.102122,0,,,"3,986",15,4,23,-0.001844003,적정의견
키움증권,0,0,0,0,9.530577919,0.09496155,0.331723729,3.493242577,,,,,,12.43082663,0.020752872,0.218539739,0.022930376,0.062560711,0.160262126,28.63976736,0.091812498,,0.658673385,0.020091627,0.626277519,0.678513204,0.495916661,0.026685573,0.281014504,0.129493304,0.143080445,1.363639332,0,49.77197645,0,,,902,5,5,41,-0.078192148,적정의견
BNK금융지주,0,0,0,0,11.54863913,0.079689916,0.164350806,2.062378958,,,,,,19.30742306,0.007522052,0.094391517,0.008173389,0.04576827,0.172914022,4.726734208,0.060045401,,0.307436928,0.006502991,3.625047261,0.356415614,0.234866804,0.008512312,0.10681793,0.043501689,0.047268513,0.545887002,0,153.7754009,0,,,109,3,4,13,-0.030598404,적정의견
