Name,총자산대비현금,산업평균대비현금,매출채권회전율,매출총이익률,대손률,총자산대비매출채권,산업평균대비매출채권,총자산대비유가증권,유가증권수익률,산업평균대비유가증권,유형자산감가상각률,산업평균대비유형자산감가상각률,총자산대비유형자산,산업평균대비유형자산,무형자산상각률,산업평균대비무형자산상각률,총자산대비무형자산,개발비계상비율,산업평균대비무형자산,재고자산회전율,매출원가율,총자산대비재고,산업평균대비재고,유효이자율,총자산대비차입금,산업평균대비차입금,역마진여부,감사의견
옵트론텍,0.025156221,,5.690126943,0.178762048,0.011095971,0.105564923,,0.009986599,0.036197171,,0.026391796,,0.36600549,,0.480622732,,0.02536867,0.579332106,,4.575846938,0.76556254,0.107805052,,0.025171314,0.84923185,,0.011025857,적정의견
새론오토모티브,0.274451346,,5.114519639,0.094506501,0,0.092964515,,0.102479853,0.029933402,,0.001453609,,0.284891251,,0.019040043,,0.010210691,0,,7.128731082,0.833277614,0.06039419,,0.107908556,0.00297797,,-0.077975154,적정의견
제주맥주,0.112771926,,12.46987292,0.382728676,-0.017593388,0.024926905,,0.224763361,0.010690557,,0.025717533,,0.388700863,,0.308387257,,0.003826081,0,,2.612909935,0.925381577,0.07343144,,0.025084896,0.191730041,,-0.014394339,적정의견
대성엘텍,0.040799059,,13.96640841,0.025928295,-0.004392123,0.185738597,,7.79E-09,13019,,0.00576164,,0.394385669,,0.273692889,,0.020771097,1,,9.36849855,0.959305534,0.269716697,,0.039050578,0.394130263,,13018.96095,적정의견
디스플레이텍,0.176912834,,5.027043738,0.058209168,0.020220591,0.136234486,,0.273657224,0.013791023,,0.00541417,,0.118851101,,0.000970234,,0.009048249,0,,14.28802343,1.736165084,0.045142128,,0.003812046,0.008607953,,0.009978977,적정의견
이루다,0.180627048,,5.780097602,0.479807087,-0.00462906,0.073714927,,0.240297258,0.004258434,,0.03404269,,0.2262923,,0,,0.064886655,0,,1.336588551,0.655002127,0.165827777,,0.007595302,0.307390571,,-0.003336868,적정의견
시스웍,0.109539589,,2.808485631,-0.537069485,0.001300766,0.049379915,,0.052730813,0.146904095,,0.038806537,,0.309653855,,0.111344153,,0.006859305,0,,3.67557172,1.567461542,0.057995079,,0.048992807,0.918808386,,0.097911288,의견거절(불확실성)
에이테크솔루션,0.003696581,,9.446153413,0.106414639,0.005033273,0.137786058,,0.010345382,0.043818799,,0.009390323,,0.418339395,,0.039727381,,0.006405474,0,,3.095053697,0.956865186,0.37577521,,0.013751427,0.420353481,,0.030067372,적정의견
현대공업,0.106421986,,5.687505931,0.094910713,0.000230126,0.245307908,,0.177403426,0.014266768,,0.040640231,,0.185157291,,0,,0.007193069,0,,26.41431753,1.081650983,0.047806334,,0.06470333,0.002630559,,-0.050436561,적정의견
머큐리,0.161253944,,13.75629465,0.175606507,0,0.059050437,,0.252766461,0.013445915,,0.011536144,,0.139149068,,0,,0.004065313,0,,3.272518914,0.858150041,0.204633613,,0.01562611,0.565153123,,-0.002180195,적정의견
한솔홈데코,0.016567025,,7.358945289,0.175402578,-0.004347276,0.11368653,,0.001015711,0.872204753,,0.006224126,,0.444519739,,0.230974626,,0.009552625,0,,4.075100603,0.834530011,0.169288799,,0.023790308,0.278955132,,0.848414444,적정의견
러셀,0.531472241,,15.5856723,0.171946636,-0.002724535,0.051027441,,0.016617477,0.11250406,,0.035031583,,0.119567154,,0.017016339,,0.025725013,0,,3.664194843,1.076799377,0.179725249,,0.037242449,0.218135203,,0.075261611,적정의견
신도기연,0.52419156,,12.85808358,0.123129026,0.144957253,0.038317945,,0.020192034,0.312312907,,0.021147608,,0.110053898,,0.069018134,,0.00567175,0,,18.72921134,0.62997957,0.023067188,,0.013164881,0.315262733,,0.299148026,적정의견
스킨앤스킨,0.619591312,,6.540362587,0.237934,-0.033305627,0.094437942,,0.002735013,0.374375332,,0.107632653,,0.120710483,,0.00752236,,0.066513656,0,,11.08143033,0.854568636,0.042476146,,0.021997601,0.088551373,,0.352377731,적정의견
